year,metarea,obs,households,wealth_mean,wealth_median,wealth_top1,wealth_top.1,wealth_top.01,wealth_top.001,wealth_top10,wealth_bottom50,wealth_gini,wealth_sd,p90,p10,income_mean,house_value_mean,own,rent,own_outright,own_mortgage,college,white,black,hispanic,female,household_size,age,mean_sd,top1_sd,top.1_sd,top.01_sd,top.001_sd,top10_sd,bottom50_sd,top5_sd,top.5_sd,gini_sd
1960,152,3762,75240,108317.389,44414.227,0.212,0.082,0.034,0.014,0.57,0.05,0.754,380137.448,232521.833,-3064.853,56900.071,69952.772,0.573,0.427,NA,NA,0.261,0.779,0.221,0,0.181,3.49,43.894,2662.991,0.019,0.011,0.004,0.002,0.01,0.001,0.014,0.019,0.021
1960,156,3394,67880,87219.001,38192.45,0.208,0.081,0.033,0.013,0.55,0.061,0.727,216152.261,192135.672,-1896.626,48880.618,52488.998,0.597,0.403,NA,NA,0.179,0.813,0.186,0,0.19,3.375,46.686,1210.442,0.011,0.007,0.003,0.001,0.006,0.001,0.008,0.009,0.02
1960,160,89296,1785920,182666.23,49358.558,0.334,0.136,0.055,0.022,0.668,0.031,0.856,949154.729,295341.163,-3631.894,70446.443,103615.112,0.454,0.546,NA,NA,0.23,0.864,0.132,0,0.173,3.244,46.067,28297.972,0.068,0.028,0.011,0.005,0.056,0.005,0.073,0.053,0.015
1960,164,13738,274760,136036.265,51048.609,0.258,0.104,0.042,0.017,0.593,0.038,0.781,424858.926,266896.819,-2924.639,61860.713,81280.157,0.515,0.485,NA,NA,0.219,0.877,0.122,0,0.192,3.237,47.063,3711.385,0.014,0.005,0.002,0.001,0.011,0.001,0.015,0.01,0.014
1960,168,24419,488380,165258.583,78004.244,0.244,0.098,0.04,0.016,0.557,0.066,0.746,467412.962,308885.068,0,69733.966,101780.682,0.578,0.422,NA,NA,0.216,0.875,0.123,0,0.164,3.322,46.796,6112.114,0.018,0.007,0.003,0.001,0.017,0.003,0.021,0.014,0.014
1960,172,1999,39980,113292.22,51662.929,0.183,0.073,0.031,0.012,0.522,0.068,0.707,268372.923,257113.674,2572.042,55390.99,73712.068,0.584,0.416,NA,NA,0.292,0.964,0.032,0.001,0.177,3.212,44.803,3283.814,0.021,0.014,0.005,0.002,0.014,0.002,0.018,0.018,0.021
1960,176,3058,61160,88029.002,38037.233,0.233,0.09,0.037,0.015,0.556,0.059,0.744,279172.052,186690.933,-2108.5,47212.446,56997.205,0.592,0.408,NA,NA,0.249,0.749,0.251,0,0.194,3.667,44.407,1863.346,0.014,0.014,0.006,0.003,0.009,0.001,0.012,0.014,0.019
1960,180,2081,41620,86425.598,19070.085,0.357,0.159,0.064,0.026,0.678,0.027,0.848,378435.371,148351.262,-1898.019,49247.755,47574.035,0.44,0.56,NA,NA,0.176,0.788,0.211,0,0.188,3.541,42.079,10431.251,0.074,0.046,0.019,0.008,0.038,0.003,0.052,0.076,0.009
1960,184,9687,193740,130549.365,54911.785,0.237,0.095,0.038,0.016,0.568,0.058,0.751,377743.339,264767.323,-2537.804,61553.421,82954.845,0.578,0.422,NA,NA,0.273,0.899,0.099,0,0.182,3.27,44.883,1452.177,0.006,0.004,0.002,0.001,0.005,0.001,0.006,0.006,0.018
1960,188,2230,44600,97466.462,41096.99,0.239,0.092,0.037,0.017,0.572,0.233,0.745,228897.163,205458.229,-2933.789,52252.653,59160.705,0.614,0.386,NA,NA,0.255,0.939,0.06,0,0.154,3.68,43.887,3137.419,0.023,0.023,0.009,0.002,0.014,0.395,0.018,0.023,0.026
1960,192,22334,446680,117315.585,49558.572,0.247,0.099,0.04,0.016,0.573,0.071,0.745,322879.634,234960.995,-1622.918,59179.508,67057.706,0.645,0.355,NA,NA,0.269,0.877,0.121,0,0.165,3.248,44.489,2353.627,0.011,0.006,0.002,0.001,0.009,0.001,0.011,0.009,0.019
1960,196,3856,77120,138071.481,70210.43,0.254,0.104,0.042,0.017,0.531,0.088,0.731,490790.663,250396.215,2533.864,61633.101,87334.344,0.656,0.344,NA,NA,0.184,0.981,0.018,0,0.148,3.24,47.311,8019.075,0.041,0.018,0.007,0.003,0.028,0.005,0.035,0.033,0.011
1960,200,11721,234420,127496.533,63867.441,0.234,0.095,0.038,0.015,0.529,0.091,0.711,370614.09,238858.911,0,62479.683,85034.309,0.659,0.341,NA,NA,0.2,0.913,0.087,0,0.151,3.363,45.219,3236.731,0.016,0.006,0.003,0.001,0.012,0.002,0.015,0.011,0.017
1960,204,1773,35460,135842.623,65021.498,0.293,0.125,0.05,0.02,0.55,0.096,0.773,762220.971,225444.223,2917.778,55428.464,86058.665,0.706,0.294,NA,NA,0.186,0.962,0.038,0,0.159,3.188,47.677,16917.255,0.081,0.041,0.017,0.007,0.055,0.012,0.068,0.072,0.015
1960,208,12825,256500,118177.913,56260.269,0.208,0.084,0.034,0.014,0.525,0.069,0.721,420821.626,248175.317,-1975.69,61746.564,76047.346,0.587,0.413,NA,NA,0.319,0.96,0.033,0,0.188,3.144,45.779,845.865,0.004,0.002,0.001,0,0.003,0,0.004,0.003,0.017
1960,212,4038,80760,124614.236,64541.882,0.183,0.068,0.027,0.011,0.493,0.095,0.671,268845.294,266348.974,2298.139,59939.769,80921.713,0.697,0.303,NA,NA,0.264,0.964,0.035,0,0.198,3.14,46.424,2675.34,0.017,0.016,0.007,0.003,0.011,0.002,0.014,0.017,0.028
1960,216,50973,1019460,141284.351,72016.603,0.236,0.096,0.039,0.016,0.526,0.097,0.707,381007.012,263304.455,0,66880.594,91860.883,0.692,0.308,NA,NA,0.191,0.871,0.127,0,0.143,3.459,45.962,4688.847,0.023,0.01,0.004,0.002,0.016,0.003,0.02,0.02,0.015
1960,224,3290,65800,97237.956,54344.587,0.178,0.063,0.026,0.012,0.478,0.26,0.65,184520.564,196381.087,0,48777.941,69702.674,0.685,0.315,NA,NA,0.197,0.992,0.004,0,0.157,3.255,49.22,2121.156,0.017,0.019,0.008,0.002,0.012,0.355,0.014,0.019,0.029
1960,231,3756,75120,93259.37,36524.358,0.233,0.086,0.035,0.016,0.589,0.229,0.755,224359.104,193165.687,-1625.656,52364.331,60957.148,0.545,0.455,NA,NA,0.242,0.972,0.024,0,0.142,3.858,41.72,2544.551,0.022,0.027,0.011,0.001,0.012,0.402,0.015,0.023,0.026
1960,236,3328,66560,101926.136,58783.882,0.182,0.073,0.03,0.012,0.479,0.099,0.657,200976.794,205070.644,0,52162.503,69192.877,0.671,0.329,NA,NA,0.159,0.979,0.02,0,0.154,3.416,47.404,1469.219,0.011,0.011,0.005,0.002,0.008,0.001,0.009,0.011,0.021
1960,240,2329,46580,114289.413,59271.078,0.172,0.064,0.027,0.013,0.486,0.253,0.664,200163.537,254761.754,-1833.512,56837.678,70703.237,0.679,0.321,NA,NA,0.253,0.995,0.001,0,0.116,3.299,45.74,3427.584,0.024,0.022,0.007,0.002,0.015,0.364,0.02,0.024,0.028
1960,244,2114,42280,91186.206,42717.232,0.233,0.091,0.036,0.017,0.541,0.249,0.707,216032.992,177120.003,0,49070.761,56075.878,0.65,0.35,NA,NA,0.174,0.936,0.064,0,0.188,3.157,48.439,3174.373,0.026,0.019,0.009,0.003,0.016,0.371,0.02,0.024,0.027
1960,252,914,18280,132604.168,54764.713,0.151,0.05,0.025,0.015,0.516,0.408,0.705,208345.406,334393.732,-3098.915,54465.879,76609.615,0.571,0.429,NA,NA,0.288,0.997,0,0,0.184,3.341,46.614,11894.172,0.053,0.032,0.008,0.007,0.04,0.489,0.054,0.051,0.036
1960,264,4746,94920,108462.806,65219.993,0.167,0.063,0.026,0.011,0.44,0.135,0.614,307563.983,219437.758,5376.008,59751.316,81145.156,0.78,0.22,NA,NA,0.141,0.909,0.09,0,0.13,3.53,44.622,1657.707,0.013,0.014,0.006,0.002,0.008,0.002,0.01,0.013,0.021
1960,268,5132,102640,161173.917,83400.973,0.194,0.082,0.033,0.013,0.506,0.092,0.692,382868.642,333531.102,0,56603.667,99822.751,0.727,0.273,NA,NA,0.225,0.873,0.126,0,0.155,3.069,48.455,3399.46,0.016,0.01,0.004,0.002,0.01,0.002,0.013,0.014,0.021
1960,276,3301,66020,125825.593,70646.432,0.189,0.072,0.029,0.012,0.473,0.113,0.65,287072.064,245301.376,4088.634,61696.599,86169.187,0.733,0.267,NA,NA,0.219,0.956,0.041,0,0.157,3.326,46.268,2002.113,0.013,0.013,0.006,0.002,0.008,0.002,0.01,0.014,0.025
1960,284,5259,105180,115615.662,57286.555,0.165,0.06,0.024,0.01,0.498,0.073,0.686,216638.213,268025.498,-2507.792,53087.5,67857.836,0.634,0.366,NA,NA,0.21,0.932,0.044,0.001,0.161,3.381,46.673,4009.297,0.027,0.017,0.007,0.003,0.017,0.002,0.022,0.025,0.026
1960,288,1328,26560,72300.767,36454.605,0.17,0.045,0.026,0.018,0.509,0.581,0.676,128737.28,160469.264,0,41136.826,49760.792,0.632,0.368,NA,NA,0.114,0.864,0.136,0,0.17,3.572,47.097,3447.919,0.036,0.035,0.008,0.004,0.023,0.46,0.028,0.036,0.032
1960,292,2023,40460,74803.405,38505.173,0.142,0.042,0.016,0.01,0.49,0.586,0.677,121208.771,175531.904,-2803.012,48325.25,52458.868,0.555,0.445,NA,NA,0.174,0.795,0.202,0,0.172,3.28,45.137,3049.297,0.034,0.024,0.01,0.002,0.019,0.48,0.025,0.033,0.025
1960,300,4973,99460,137169.831,71952.602,0.21,0.084,0.035,0.014,0.504,0.11,0.674,302731.097,269146.932,4108.614,60982.363,89152.4,0.752,0.248,NA,NA,0.204,0.965,0.033,0,0.165,3.398,47.195,1939.748,0.01,0.008,0.002,0.001,0.007,0.002,0.009,0.009,0.02
1960,304,1034,20680,97658.432,42413.641,0.152,0.057,0.026,0.016,0.505,0.409,0.695,163606.138,224729.454,-2191.931,53161.648,62665.201,0.532,0.468,NA,NA,0.229,0.985,0.004,0,0.135,3.25,44.628,4540.171,0.039,0.02,0.005,0.007,0.021,0.488,0.029,0.037,0.028
1960,308,1568,31360,118415.337,69160.862,0.156,0.057,0.025,0.013,0.457,0.267,0.628,199500.636,243457.821,2920.311,57550.353,77505.736,0.712,0.288,NA,NA,0.17,0.991,0,0,0.144,3.696,47.109,3169.414,0.023,0.017,0.004,0.005,0.014,0.345,0.018,0.02,0.03
